City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
2,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
4,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
5,Surt,LY,79.93,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
6,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Itoigawa,JP,81.57,broken clouds,37.0333,137.85,Hotel Route Inn Itoigawa
10,Cuiluan,CN,70.07,overcast clouds,47.72,128.648,Shuncheng Hotel
11,Labuhan,ID,77.23,clear sky,-6.8844,112.2051,DoubleFAG
15,Huaihua,CN,81.45,overcast clouds,27.5494,109.9592,怀化天庆大酒店
16,Shenjiamen,CN,82.02,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
17,Tuktoyaktuk,CA,75.2,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
18,Samarai,PG,82.81,broken clouds,-10.6167,150.6667,Nuli Sapi
26,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
27,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Rikitea,PF,74.89,clear sky,-23.1203,-134.9692,People ThankYou
30,Albany,US,76.78,overcast clouds,42.6001,-73.9662,
32,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
39,Alghero,IT,71.69,scattered clouds,40.5589,8.3181,Smy Carlos V Alghero
41,Yellowknife,CA,79.32,smoke,62.456,-114.3525,The Explorer Hotel
42,Jiuquan,CN,78.08,clear sky,39.7432,98.5174,Jiuquan Hotel
43,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Nabire,ID,82.67,broken clouds,-3.3667,135.4833,Hotel Nusantara I
48,Norfolk,US,73.92,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
50,Virginia Beach,US,82.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
51,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
52,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
56,Hobyo,SO,75.16,few clouds,5.3505,48.5268,Iftin hotel hobyo
57,Asyut,EG,78.94,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
64,Lompoc,US,77.14,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
65,Tomatlan,MX,82.27,overcast clouds,19.9333,-105.25,El Salvial
69,Fairbanks,US,80.1,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
70,Serik,TR,76.75,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
76,Kyaukse,MM,81.3,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
77,Sheridan,US,74.7,overcast clouds,44.8333,-106.9173,Comfort Inn & Suites
85,Atuona,PF,77.52,clear sky,-9.8,-139.0333,Villa Enata
86,Redmond,US,80.1,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
87,Bachaquero,VE,82.94,clear sky,9.9694,-71.1494,Campo progreso Parroquia Rafael Urdaneta
88,Dingle,PH,81.66,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
90,Sao Joao Da Barra,BR,71.46,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
94,Rudraprayag,IN,78.76,broken clouds,30.2833,78.9833,HOTEL PUSHPDEEP GRAND
96,Ambon,ID,79.23,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
97,Susanville,US,82.24,clear sky,40.4163,-120.653,Comfort Inn & Suites
101,Vostok,RU,80.67,overcast clouds,46.4856,135.8833,
104,Portland,US,80.56,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
105,Prado,BR,70.99,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
106,Fare,PF,78.6,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
109,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Marsh Harbour,BS,82.0,clear sky,26.5412,-77.0636,Abaco Beach Resort
117,Otaru,JP,76.84,few clouds,43.1894,141.0022,GRAND PARK OTARU
129,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
134,Abnub,EG,78.85,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
136,Pierre,US,80.06,clear sky,44.3683,-100.351,Ramkota Hotel
137,Tokur,RU,75.34,overcast clouds,53.1333,132.9,
139,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Fortuna,US,71.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
142,Jimo,CN,82.18,mist,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
144,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
149,Arraial Do Cabo,BR,70.5,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
152,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
156,Sioux Lookout,CA,73.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
158,Ratnagiri,IN,79.52,overcast clouds,16.9833,73.3,Hotel Landmark
163,Freeport,US,75.56,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
166,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
168,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
169,Pangkalanbuun,ID,81.25,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
172,Craig,US,82.02,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
174,Whitehorse,CA,78.1,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
178,Imeni Poliny Osipenko,RU,75.99,overcast clouds,52.4201,136.4853,Yubileynaya
183,Dashitou,CN,73.9,broken clouds,43.3067,128.5114,Shengzeyuan Fashion Hotel
185,Manasa,IN,78.44,overcast clouds,24.4837,75.2687,Sameer patel
189,Touros,BR,74.46,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
191,Saint Anthony,US,84.88,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
194,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
199,Broome,US,75.47,overcast clouds,42.2506,-75.833,Chenango Valley State Park
201,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
202,Anshun,CN,70.95,scattered clouds,26.25,105.9333,安顺麦吉风格酒店
203,Alenquer,BR,77.13,scattered clouds,-1.9417,-54.7383,Detinha Hotel
204,Marawi,PH,75.11,overcast clouds,7.9986,124.2928,Derogongan Residence
205,Marsaxlokk,MT,81.09,clear sky,35.8419,14.5431,Water's Edge
209,Bengkulu,ID,77.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Tucurui,BR,78.55,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
212,Teknaf,BD,81.1,scattered clouds,20.8624,92.3058,Forestry Guesthouse
213,Langsa,ID,78.62,scattered clouds,4.4683,97.9683,OYO 3328 Hotel Mori
216,Avera,US,78.85,overcast clouds,33.194,-82.5271,
218,Bubaque,GW,80.33,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
219,Nenjiang,CN,78.22,broken clouds,49.1833,125.2167,Nenjiang Apartment
220,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
221,Jalu,LY,82.71,clear sky,29.0331,21.5482,صاحبة الفخامة
223,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
224,Kavieng,PG,82.0,moderate rain,-2.5744,150.7967,Nusa Island Retreat
225,Meulaboh,ID,77.11,few clouds,4.1363,96.1285,Kost Pria
229,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
231,Nijar,ES,73.65,clear sky,36.9665,-2.206,La Casa del Cine
236,Asfi,MA,73.08,clear sky,32.2994,-9.2372,Hôtel Abda
238,Sao Filipe,CV,73.81,few clouds,14.8961,-24.4956,Hotel Xaguate
241,Mana,GF,77.92,clear sky,5.6592,-53.7767,LE SAMANA
242,Myitkyina,MM,79.12,broken clouds,25.3833,97.4,Shwe Phyu Hotel
244,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
248,Deori,IN,81.3,moderate rain,21.45,82.6167,बंजारी डीपा
250,Linxia,CN,75.74,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
251,Melilla,ES,75.58,broken clouds,35.2937,-2.9383,Hotel Anfora
252,Altagracia De Orituco,VE,71.4,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
